,企業名,キャッチコピー,ステータス,初年度年収
0,株式会社クラフト | 社員の約7割がリモートワーク|賞与年4カ月|産休育休実績あり,【ITエンジニア(PM・PL候補)】年休124日/残業月平均10h 正社員,正社員,330万円～850万円
1,ケーイングジャパン株式会社 | ◎名古屋市港区に4月に新事業所オープン ◎大手企業と安定取引,＼育成枠／【電気工事スタッフ】★転勤なし・直行直帰OK 正社員,正社員,
2,株式会社テクトン | WEB面接可／年間休日125日／土日祝休み／残業少なめ,スキルアップもプライベートも満喫できる！【ITエンジニア】 正社員,正社員,360万円～840万円
3,Earth Technology株式会社 | 未経験入社9割／文系出身8割／研修あり／年休125日／女性活躍中,Welcome inexperienced.Job to use English【globalsupport】 正社員,正社員,300万円～500万円
4,株式会社スタッフサービス | エンジニアリング事業本部,【ITサポート】働きやすさ抜群・平均残業時間11時間 正社員,正社員,300万円～600万円
5,株式会社スタッフサービス | エンジニアリング事業本部,一生モノのスキルを【品質管理】年休125日★残業11h※全国募集 正社員,正社員,300万円～600万円
6,株式会社スタッフサービス | エンジニアリング事業本部,【研究開発（医薬/バイオ/食品/素材等）】★残業月平均11h 正社員,正社員,300万円～600万円
7,株式会社スタッフサービス | エンジニアリング事業本部,大手基盤・安定成長！【ITエンジニア】★残業月11h※全国募集 正社員,正社員,300万円～700万円
8,株式会社スタッフサービス | エンジニアリング事業本部,【CADオペレーター】★年休125日★残業月11h※全国募集 正社員,正社員,300万円～700万円
9,株式会社アルファシステムズ | 【東証一部上場／49年間黒字経営を継続中】★社員定着率96.4％,＼教育プログラムが充実／未経験から成長できる【ITエンジニア】 正社員,正社員,350万円～500万円
10,アルファーテック株式会社 | ★残業1日1時間程度 ★完全週休二日 ★賞与年2回,自治体・学校などのIT環境を、もっと便利に！【営業職】未経験OK 正社員,正社員,300万円～450万円
11,株式会社モバイルコミュニケーションズ | リモート面接可／国家資格取得可能／転勤なし／定着率90％,★5Gで世界を変えよう！IT社会を支える【モバイルエンジニア】 正社員,正社員,250万円～600万円
12,アルファーテック株式会社 | ★完全週休二日 ★資格取得補助・通信教育受講制度アリ★,自治体や学校のPC・クラウド環境を作る【ITエンジニア】未経験OK 正社員,正社員,300万円～450万円
13,アクティブ・アイティ株式会社 | キヤノンM・富士通など大手と直取引の上流・大型案件多数,【インフラエンジニア】★年休130日★残業月14H★入社祝金50万円 正社員,正社員,400万円～800万円
