,キャッチコピー,ステータス,企業名,初年度年収
0,＜福岡限定＞未来の通信技術を楽しもう【移動体通信エンジニア】 正社員,正社員,株式会社モバイルコミュニケーションズ | WEB面接可／国家資格取得可能／転勤なし／定着率90％,250万円～600万円
1,【コールセンターの管理スタッフ】★年休120日超/完全週休2日制 正社員,正社員,株式会社アイ・エヌ・ジー・ドットコム | ★長期的なキャリア形成が可能です！★大阪府緊急雇用対策に賛同,260万円～400万円
2,【開発エンジニア】社会基盤分野＆DX提案★経験・未経験とも歓迎 正社員,正社員,株式会社システムイオ | MITホールディングス（東証JASDAQ上場）グループ,300万円～550万円
3,上場企業で活躍！資材・建材の【ルート営業】★未経験歓迎！ 正社員,正社員,トシン・グループ株式会社 | JASDAQ上場/褒賞金制度あり!1回の賞与に最大131万円上乗せ支給!,350万円～500万円
4,景気に左右されにくい！『フロン』の【回収スタッフ】*東京募集 正社員,正社員,中京フロン株式会社 | ＼未経験歓迎！／◎法規制等を追い風に事業が拡大中！,300万円～450万円
5,《名古屋本社募集》『フロン』の【回収スタッフ】*未経験歓迎！ 正社員,正社員,中京フロン株式会社 | ＼11年連続で売上UP／◎2021年は休日数もUP◎普通免許があればOK,300万円～450万円
6,#未経験OK#首都圏勤務#年休123日#IT・通信業界【事務スタッフ】 正社員,正社員,株式会社アウトソーシングテクノロジー | SS事業本部ｌ東証一部上場企業グループ／土日祝休み／残業少なめ,250万円～450万円
7,《大阪募集》『フロン』の【回収スタッフ】*20～30代活躍中！ 正社員,正社員,中京フロン株式会社 | ◎実績は業界トップクラス！◎法規制等を追い風に、事業拡大中！,300万円～450万円
8,【ITエンジニア(アプリ開発・インフラ保守運用)】★未経験歓迎 正社員,正社員,株式会社テクノプロ | テクノプロ・エンジニアリング社 ―◇業界売上NO.1グループ企業,350万円～600万円
9,【デザイナー】完全土日休み！平均賞与年6ヶ月分！ 正社員,正社員,株式会社ミックウェア | 大手自動車メーカーと直取引！年間休日121日以上、福利厚生◎,450万円～1000万円
10,Welcome inexperienced.Job to use English【globalsupport】 正社員,正社員,Earth Technology株式会社 | 未経験入社9割／文系出身8割／研修あり／年休125日／女性活躍中,300万円～500万円
11,【営業スタッフ】完全土日休み&年休120日！平均賞与年6ヶ月分！ 正社員,正社員,株式会社ミックウェア | 大手自動車メーカーと直取引！トヨタと資本提携！福利厚生◎,450万円～1000万円
12,【テストエンジニア（リ－ダ－もしくは候補者）】賞与年４回可 正社員,正社員,株式会社ミックウェア | 大手自動車メーカーと直取引！年間休日120日以上／完全土日休み,450万円～1000万円
13,私たちは前に進む！あなたは？どうする？【総合エンジニア職】 正社員,正社員,株式会社アウトソーシングテクノロジー | #手に職をつける#将来の可能性を広げる#業績好調#WEB面接可,280万円～600万円
14,"""毎日が楽しい""を実感♪【初級ITエンジニア】★定着率97% 正社員",正社員,株式会社ボードルア | ★残業ほぼなし★完全週休2日(年休125日以上)★オフィスは六本木,300万円～700万円
15,＜関東・大阪限定＞ワクワクが止まらない【モバイルエンジニア】 正社員,正社員,株式会社モバイルコミュニケーションズ | リモート面接可／国家資格取得可能／転勤なし／定着率90％,250万円～600万円
16,育成枠募集！【電気工事スタッフ】★転勤なし★20代活躍中 正社員,正社員,ケーイングジャパン株式会社 | ◎資格取得支援制度など、将来を見据えた手厚いサポートあり！,
17,【 システム開発 】◎風通し良い・チャレンジできる職場で活躍！ 正社員,正社員,豊ハイテック株式会社 | 【 トヨタグループ｜ジェイテクト100％出資 】,450万円～850万円
18,《残業代100％支給&土日祝休み》で安心できる！【ITエンジニア】 正社員,正社員,株式会社フォーラムエンジニアリング | ☆東証一部☆エンジニア専門転職サイト「コグナビ」運営で話題！,
19,大手基盤・安定成長！【ITエンジニア】★残業月11h/選べる勤務地 正社員,正社員,株式会社スタッフサービス | エンジニアリング事業本部,300万円～700万円
20,【研究開発（医薬/バイオ/食品/素材等）】★残業月平均11h 正社員,正社員,株式会社スタッフサービス | エンジニアリング事業本部,300万円～600万円
21,★育成前提採用★【プログラマー】研修からスタート！未経験歓迎 正社員,正社員,株式会社スタッフサービス | エンジニアリング事業本部,300万円～600万円
22,【CADオペレーター】★年休125日/残業月11h/完全週休2日制(土日) 正社員,正社員,株式会社スタッフサービス | エンジニアリング事業本部,300万円～700万円
23,一生モノのスキルを【品質管理】年休125日・土日祝休み★残業11h 正社員,正社員,株式会社スタッフサービス | エンジニアリング事業本部,300万円～600万円
24,鉄道や防災…通信を支える【通信工事】★完全土日祝休／未経験OK 正社員,正社員,ニューマン・デザイン株式会社 | 《JR東海など業界大手と多数取引》本社／東京オフィス募集☆新設,
25,【ITエンジニア（開発・インフラ）】平均年齢35歳/月給35万円～ 正社員,正社員,株式会社アビリティ | 【第二創業期】◆リモートワーク（8割）◆年休125日◆残業月10H,450万円～1000万円
26,【ITエンジニア(PM・PL候補)】年休124日/残業月平均10h 正社員,正社員,株式会社クラフト | 社員の約7割がリモートワーク|賞与年4カ月|産休育休実績あり,330万円～850万円
27,【Webエンジニア】実務未経験歓迎！エンジニアデビューを応援！ 正社員,正社員,株式会社テクノプロ　テクノプロ・デザイン社 | 【東証一部】◆業界売上高No.1グループ企業◆充実した研修,360万円～500万円
28,＼教育プログラムが充実／未経験から成長できる【ITエンジニア】 正社員,正社員,株式会社アルファシステムズ | 【東証一部上場／49年間黒字経営を継続中】★社員定着率96.4％,350万円～500万円
29,【PCサポート】ネットワーク・サーバエンジニアにキャリアUP！ 正社員,正社員,ICT・イノベーター株式会社 | ★入社支度金+お祝金50万円～70万円★福利厚生充実企業,400万円～950万円
30,自社開発拡大【ITエンジニア】*賞与6.3ヵ月*定着率93%*年休123日 正社員,正社員,株式会社システムリサーチ | 東京システム事業部／東証一部上場◆プライム案件8割◆WEB面接OK,330万円～700万円
31,Excel、Word、PowerPointをイチから学ぶ！男女不問！【事務職】 正社員,正社員,株式会社テクトン | 「未経験で心配・・・」そんなあなたを応援する会社,260万円～460万円
32,業界No.1で活躍！【インフラエンジニア】*賞与年3回*年休123日 正社員,正社員,株式会社テクノプロ　テクノプロ・デザイン社 | 【東証一部】◆取引先861社◆WEB面接OK◆定着率93.5%,350万円～600万円
33,自社スクールで経験ゼロから学んで資格も取得！【ITエンジニア】 正社員,正社員,株式会社エスアイイー | ★ITスクール運営★未経験率90％★資格取得率95％★上京支援あり,300万円～450万円
